n,x,y,z
0,180,220,0
1,230,0,0
2,180,-220,0
3,-180,-220,0
4,-230,0,0
5,-180,220,0
6,-980,-400,0
7,-960,-400,0
8,-940,-400,0
9,-920,-400,0
10,-900,-400,0
11,-880,-400,0
12,-860,-400,0
13,-840,-400,0
14,-820,-400,0
15,-800,-400,0
16,-780,-400,0
17,-760,-400,0
18,-740,-400,0
19,-720,-400,0
20,-700,-400,0
21,-680,-400,0
22,-660,-400,0
23,-640,-400,0
24,-620,-400,0
25,-600,-400,0
26,-580,-400,0
27,-560,-400,0
28,-540,-400,0
29,-520,-400,0
30,-500,-400,0
31,-480,-400,0
32,-460,-400,0
33,-440,-400,0
34,-420,-400,0
35,-400,-400,0
36,-380,-400,0
37,-360,-400,0
38,-340,-400,0
39,-320,-400,0
40,-300,-400,0
41,-280,-400,0
42,-260,-400,0
43,-240,-400,0
44,-220,-400,0
45,-200,-400,0
46,-180,-400,0
47,-160,-400,0
48,-140,-400,0
49,-120,-400,0
50,-100,-400,0
51,-80,-400,0
52,-60,-400,0
53,-40,-400,0
54,-20,-400,0
55,0,-400,0
56,20,-400,0
57,40,-400,0
58,60,-400,0
59,80,-400,0
60,100,-400,0
61,120,-400,0
62,140,-400,0
63,160,-400,0
64,180,-400,0
65,200,-400,0
66,220,-400,0
67,240,-400,0
68,260,-400,0
69,280,-400,0
70,300,-400,0
71,320,-400,0
72,340,-400,0
73,360,-400,0
74,380,-400,0
75,400,-400,0
76,420,-400,0
77,440,-400,0
78,460,-400,0
79,480,-400,0
80,500,-400,0
81,520,-400,0
82,540,-400,0
83,560,-400,0
84,580,-400,0
85,600,-400,0
86,620,-400,0
87,640,-400,0
88,660,-400,0
89,680,-400,0
90,700,-400,0
91,720,-400,0
92,740,-400,0
93,760,-400,0
94,780,-400,0
95,800,-400,0
96,820,-400,0
97,840,-400,0
98,860,-400,0
99,880,-400,0
100,900,-400,0
101,920,-400,0
102,940,-400,0
103,960,-400,0
104,-1000,-380,0
105,-980,-380,0
106,-960,-380,0
107,-940,-380,0
108,-920,-380,0
109,-900,-380,0
110,-880,-380,0
111,-860,-380,0
112,-840,-380,0
113,-820,-380,0
114,-800,-380,0
115,-780,-380,0
116,-760,-380,0
117,-740,-380,0
118,-720,-380,0
119,-700,-380,0
120,-680,-380,0
121,-660,-380,0
122,-640,-380,0
123,-620,-380,0
124,-600,-380,0
125,-580,-380,0
126,-560,-380,0
127,-540,-380,0
128,-520,-380,0
129,-500,-380,0
130,-480,-380,0
131,-460,-380,0
132,-440,-380,0
133,-420,-380,0
134,-400,-380,0
135,-380,-380,0
136,-360,-380,0
137,-340,-380,0
138,-320,-380,0
139,-300,-380,0
140,-280,-380,0
141,-260,-380,0
142,-240,-380,0
143,-220,-380,0
144,-200,-380,0
145,-180,-380,0
146,-160,-380,0
147,-140,-380,0
148,-120,-380,0
149,-100,-380,0
150,-80,-380,0
151,-60,-380,0
152,-40,-380,0
153,-20,-380,0
154,0,-380,0
155,20,-380,0
156,40,-380,0
157,60,-380,0
158,80,-380,0
159,100,-380,0
160,120,-380,0
161,140,-380,0
162,160,-380,0
163,180,-380,0
164,200,-380,0
165,220,-380,0
166,240,-380,0
167,260,-380,0
168,280,-380,0
169,300,-380,0
170,320,-380,0
171,340,-380,0
172,360,-380,0
173,380,-380,0
174,400,-380,0
175,420,-380,0
176,440,-380,0
177,460,-380,0
178,480,-380,0
179,500,-380,0
180,520,-380,0
181,540,-380,0
182,560,-380,0
183,580,-380,0
184,600,-380,0
185,620,-380,0
186,640,-380,0
187,660,-380,0
188,680,-380,0
189,700,-380,0
190,720,-380,0
191,740,-380,0
192,760,-380,0
193,780,-380,0
194,800,-380,0
195,820,-380,0
196,840,-380,0
197,860,-380,0
198,880,-380,0
199,900,-380,0
200,920,-380,0
201,940,-380,0
202,960,-380,0
203,-1000,-360,0
204,-980,-360,0
205,-960,-360,0
206,-940,-360,0
207,-920,-360,0
208,-900,-360,0
209,-880,-360,0
210,-860,-360,0
211,-840,-360,0
212,-820,-360,0
